Date,Open,High,Low,Close
2018-09-04 00:00:00+05:30,72349.29364687503,72645.40262496592,69931.07032579939,70107.6484375
2018-09-05 00:00:00+05:30,70374.26835300108,70374.26835300108,69093.10311474816,69439.84375
2018-09-06 00:00:00+05:30,69881.6553090749,70063.66218102376,69190.83424237646,69911.90625
2018-09-07 00:00:00+05:30,69961.67842339848,71066.16507222937,69715.95420289157,70327.8203125
2018-09-10 00:00:00+05:30,70573.66428361215,70622.07504276812,69536.29527951324,69592.0625
2018-09-11 00:00:00+05:30,69592.03551838407,70177.79159695124,68697.29276136997,68864.640625
2018-09-12 00:00:00+05:30,68953.91600941386,69051.58571267924,67316.53347967549,68246.5625
2018-09-14 00:00:00+05:30,68598.606426011,69795.77394469858,68598.606426011,69333.25
2018-09-17 00:00:00+05:30,69289.51997361437,69289.51997361437,68746.75360938908,68877.234375
2018-09-18 00:00:00+05:30,68877.24460252209,69209.58080436137,67612.41919283514,67839.9296875
2018-09-19 00:00:00+05:30,68198.8480972537,68351.79150320306,66515.96169439073,66904.2578125
2018-09-21 00:00:00+05:30,67310.51388734284,67611.55805092725,61689.377783692755,65878.7265625
2018-09-24 00:00:00+05:30,66131.01981631768,66131.0660833558,63614.09294271156,63730.5625
2018-09-25 00:00:00+05:30,63838.142392632326,66229.71619811725,62306.27175866097,64927.4765625
2018-09-26 00:00:00+05:30,66119.17273259955,66119.17273259955,64946.58096681571,65458.40234375
2018-09-27 00:00:00+05:30,66145.81957668353,67315.45019965405,63120.62256056572,63370.14453125
2018-09-28 00:00:00+05:30,63663.4371397884,64884.78656060474,61491.97106680337,62773.6796875
2018-10-01 00:00:00+05:30,63268.62824819707,63268.62824819707,61343.91958854053,62208.2109375
2018-10-03 00:00:00+05:30,62258.89530222136,62828.41164874041,61743.715731803735,62319.89453125
2018-10-04 00:00:00+05:30,61886.72822082246,61886.72822082246,60603.639398517735,60804.796875
2018-10-05 00:00:00+05:30,60603.64682857795,60603.64682857795,59716.30678787939,60230.74609375
2018-10-08 00:00:00+05:30,59923.59362323009,60950.1050852083,58827.99004361872,60328.17578125
2018-10-09 00:00:00+05:30,61096.17339319649,61886.784467494144,59873.24315467615,61193.19921875
2018-10-10 00:00:00+05:30,60723.09047414893,63466.0476501971,60723.09047414893,63149.8046875
2018-10-11 00:00:00+05:30,62173.02589447598,63436.07741758303,60908.69046112382,62604.8515625
2018-10-12 00:00:00+05:30,62794.85481600282,64117.4250243056,62794.85481600282,63148.55859375
2018-10-15 00:00:00+05:30,62799.988441895715,63742.25906563722,61195.867851209994,61788.6796875
2018-10-16 00:00:00+05:30,62174.855887526406,63150.1881753238,62046.83499426793,62393.0859375
2018-10-17 00:00:00+05:30,62923.174609075286,63430.26136916019,61097.16875767467,61296.40234375
2018-10-19 00:00:00+05:30,61161.32604670894,61876.92293824229,60110.13888880134,61164.140625
2018-10-22 00:00:00+05:30,61936.09016993199,61936.09016993199,61194.88066929319,61400.1328125
2018-10-23 00:00:00+05:30,60801.05682751508,61370.57322020138,60505.934814667235,60923.1015625
2018-10-24 00:00:00+05:30,61630.16083600641,61886.78866780273,61003.543220633816,61541.328125
2018-10-25 00:00:00+05:30,61195.8684304339,61669.64289570178,60011.43226726421,60566.63671875
2018-10-26 00:00:00+05:30,60504.94883838028,62598.93332387169,59879.17171662607,62238.3203125
2018-10-29 00:00:00+05:30,62380.30962464171,63515.39437255845,61714.06422912536,63103.0625
2018-10-30 00:00:00+05:30,62579.876360186136,64058.25075189171,62579.876360186136,63475.0625
2018-10-31 00:00:00+05:30,63507.49138379987,64058.25418558036,62858.025570947604,63662.01171875
2018-11-01 00:00:00+05:30,63662.009738018045,64502.415728523614,63661.51622297804,63902.3515625
2018-11-02 00:00:00+05:30,64206.33024080497,65811.78152148752,64169.216353957236,65618.5703125
2018-11-05 00:00:00+05:30,65834.90799021126,65933.61100069134,65055.15420741865,65295.7890625
2018-11-06 00:00:00+05:30,65341.391448149916,65743.50596144375,64058.25234116208,64315.5703125
2018-11-07 00:00:00+05:30,64818.27037096086,65078.00581438359,64331.664503854365,64714.5859375
2018-11-09 00:00:00+05:30,64206.42077123546,65639.48851065563,63676.431771217445,65484.625
2018-11-12 00:00:00+05:30,65484.51853719679,66116.26413144823,64216.678246880576,64357.4765625
2018-11-13 00:00:00+05:30,64357.48138617016,65331.533753064454,63961.5858571239,64968.453125
2018-11-14 00:00:00+05:30,65242.68118431224,65874.3803667322,64393.83540793541,64695.8203125
2018-11-15 00:00:00+05:30,65142.9998608746,65472.66791574714,64354.362807451995,64931.62890625
2018-11-16 00:00:00+05:30,65045.28281733529,65933.60989678296,64737.77667780218,64902.1171875
2018-11-19 00:00:00+05:30,64919.94780201686,65541.805291986,64654.42452455385,65334.8125
2018-11-20 00:00:00+05:30,65344.38736594988,65472.70715987092,64863.88217609287,65171.109375
2018-11-21 00:00:00+05:30,65394.72244368377,66694.70054904568,65255.54483331473,66454.0546875
2018-11-22 00:00:00+05:30,66528.87587307557,67288.87759238137,66333.43496175703,66733.59375
2018-11-26 00:00:00+05:30,67121.107883209,67821.93121551897,66733.63463106059,67317.2890625
2018-11-27 00:00:00+05:30,66989.0393586754,67792.317991914,66528.90813074999,67688.921875
2018-11-28 00:00:00+05:30,67615.64712288175,68443.80332404813,67477.20980796688,67903.1328125
2018-11-29 00:00:00+05:30,68110.17131605871,68256.25846360192,67131.97967271194,67407.2734375
2018-11-30 00:00:00+05:30,67515.93903441688,67790.88572784857,66282.98194462822,66461.7890625
2018-12-03 00:00:00+05:30,66627.59138939764,67070.78825656563,65747.1201076296,65830.875
2018-12-04 00:00:00+05:30,65936.62108008997,66269.95944821404,65079.79356696676,65274.046875
2018-12-05 00:00:00+05:30,65146.96460847987,65341.07140845147,64294.13161724159,64440.21875
2018-12-06 00:00:00+05:30,64455.02922262762,64467.9113262869,63612.11705170355,63927.734375
2018-12-07 00:00:00+05:30,64425.40621875216,64850.83559686861,64025.69091874856,64727.3046875
2018-12-10 00:00:00+05:30,63271.57549509462,64056.69362953583,63271.57549509462,63532.70703125
2018-12-11 00:00:00+05:30,62843.13924180205,65640.5107840894,62843.13924180205,65316.45703125
2018-12-12 00:00:00+05:30,65415.44691438189,67604.77968321487,65366.09315494021,67265.765625
2018-12-13 00:00:00+05:30,67397.50228537772,68008.50190334271,66235.42160548053,66591.6015625
2018-12-14 00:00:00+05:30,66429.16598550492,66627.56807711233,65196.30920730769,65477.671875
2018-12-17 00:00:00+05:30,65556.59820705438,66331.45222485968,65366.0926969443,65517.26171875
2018-12-18 00:00:00+05:30,65617.78281940344,67120.06465549054,65245.70182463313,66688.265625
2018-12-19 00:00:00+05:30,67121.11158065552,68601.72433611116,66873.74900067245,68430.9140625
2018-12-20 00:00:00+05:30,67861.42047587551,68996.55696383561,67861.42047587551,68157.25
2018-12-21 00:00:00+05:30,68157.23709708983,68661.9254702359,65837.90383785074,66137.828125
2018-12-24 00:00:00+05:30,66137.93524557543,66476.54828177376,65045.289354003085,65263.0859375
2018-12-26 00:00:00+05:30,65344.377494729844,66630.53646566086,64263.77693185438,66449.5546875
2018-12-27 00:00:00+05:30,66527.7826777489,66824.00549435422,65666.1662582521,65824.4453125
2018-12-28 00:00:00+05:30,66409.43409873052,66602.90084293527,66114.29860629574,66170.515625
2018-12-31 00:00:00+05:30,66676.89649759121,66676.89649759121,65948.82865096984,66118.90625
2019-01-01 00:00:00+05:30,66429.17546161337,66429.17546161337,65640.84937672605,65937.8125
2019-01-02 00:00:00+05:30,65640.5091059758,66232.75430091693,65295.72677959796,65774.2578125
2019-01-03 00:00:00+05:30,65887.26493486996,66528.86376944173,65599.73303407858,65954.6328125
2019-01-04 00:00:00+05:30,66133.7260582204,66479.39506544778,65345.39251062775,65742.296875
2019-01-07 00:00:00+05:30,66232.75056355498,66475.47082994702,65804.50641570594,66112.8671875
2019-01-08 00:00:00+05:30,65837.92734669622,66110.36014951013,65370.05362012449,65581.1875
2019-01-09 00:00:00+05:30,65641.48471586572,66133.0481418067,64969.7338054472,65216.40234375
2019-01-10 00:00:00+05:30,65392.74442595128,66227.76376963133,65057.13886051145,65838.609375
2019-01-11 00:00:00+05:30,66034.23787703003,66134.03271347418,65443.08013288565,66072.09375
2019-01-14 00:00:00+05:30,65739.21686344515,66131.03949961628,65103.44010219482,65791.578125
2019-01-15 00:00:00+05:30,65788.55664149702,66124.11591260755,65222.962598652644,65340.03125
2019-01-16 00:00:00+05:30,65364.11313581806,65626.38207455318,65048.24910375128,65138.2734375
2019-01-17 00:00:00+05:30,65434.20178883211,65434.20178883211,64752.13282870052,64952.30859375
2019-01-18 00:00:00+05:30,65151.89259110313,65243.891075902095,64801.48092729219,64890.1171875
2019-01-21 00:00:00+05:30,64890.12182485223,65442.051080895086,64654.41135650977,65271.43359375
2019-01-22 00:00:00+05:30,65048.26210319387,65311.66468862857,64258.60186521883,64416.140625
2019-01-23 00:00:00+05:30,64533.00167501811,65433.1679777983,64456.009810313604,65218.078125
2019-01-24 00:00:00+05:30,65146.95484301513,65332.918244534936,63666.342232946605,64063.88671875
2019-01-25 00:00:00+05:30,64456.00004106635,64686.28541879729,62876.679978804386,63094.7734375
2019-01-28 00:00:00+05:30,63049.43301415823,63049.43301415823,61642.85075122006,61751.37890625
